label,label_id,total,train,val,test,train_ratio,val_ratio,test_ratio
aluminum,0,25,21,2,2,0.84,0.08,0.08
carton,1,23,19,2,2,0.8260869565217391,0.08695652173913043,0.08695652173913043
foam,2,35,27,4,4,0.7714285714285715,0.11428571428571428,0.11428571428571428
glass,3,30,24,3,3,0.8,0.1,0.1
paper,4,18,14,2,2,0.7777777777777778,0.1111111111111111,0.1111111111111111
plastic,5,58,46,6,6,0.7931034482758621,0.10344827586206896,0.10344827586206896
rubber,6,20,16,2,2,0.8,0.1,0.1
steel,7,26,20,3,3,0.7692307692307693,0.11538461538461539,0.11538461538461539
tile,8,22,18,2,2,0.8181818181818182,0.09090909090909091,0.09090909090909091
wood,9,30,24,3,3,0.8,0.1,0.1
woodgrain,10,16,12,2,2,0.75,0.125,0.125
